method,mean_brier,standard_error,n_question_days,n_questions,mean_n_forecasters,median_n_forecasters,scoring_scale,weighting
geometric_mean,0.21870052176584243,0.00340775472318317,13129,189,19.686267042425165,13.0,0-2,question_day_weighted
median,0.21979620131733985,0.0029350516228255235,13129,189,19.686267042425165,13.0,0-2,question_day_weighted
trimmed_mean,0.22560272494688607,0.002569566446777396,13129,189,19.686267042425165,13.0,0-2,question_day_weighted
raw_mean,0.23185674964405764,0.0024794530008998466,13129,189,19.686267042425165,13.0,0-2,question_day_weighted
geometric_mean_of_odds,0.23390877491773301,0.0036108790483357486,13129,189,19.686267042425165,13.0,0-2,question_day_weighted
